act_dem_electors,act_rep_electors,dem_pct,dem_vote,electors,prop_dem_electors,prop_rep_electors,rating,rep_pct,rep_vote,state,total_vote,year
3,1,54.672206125151725,290078.3333333333,4,2,2,Likely-D,45.32779387484829,240499.0,ME,530577.3333333333,2020
10,0,67.02904704709233,1985023.0,10,7,3,Solid-D,32.97095295290766,976414.0,MD,2961437.0,2020
11,0,67.11554954014815,2382202.0,11,7,4,Solid-D,32.88445045985185,1167202.0,MA,3549404.0,2020
16,0,51.413559344409464,2804040.0,16,8,8,Lean-D,48.58644065559054,2649852.0,MI,5453892.0,2020
10,0,53.63951364856667,1717077.0,10,5,5,Lean-D,46.36048635143333,1484065.0,MN,3201142.0,2020
0,6,41.61501417261114,539398.0,6,2,4,Solid-R,58.38498582738886,756764.0,MS,1296162.0,2020
0,10,42.16417935559855,1253014.0,10,4,6,Likely-R,57.83582064440145,1718736.0,MO,2971750.0,2020
0,3,41.6028199079519,244786.0,3,1,2,Likely-R,58.3971800920481,343602.0,MT,588388.0,2020
1,4,40.215947753398275,187291.5,5,2,3,Solid-R,59.784052246601725,278423.0,NE,465714.5,2020
6,0,51.2231173400438,703486.0,6,3,3,Lean-D,48.77688265995619,669890.0,NV,1373376.0,2020
4,0,53.74887584951625,424937.0,4,2,2,Lean-D,46.25112415048375,365660.0,NH,790597.0,2020
14,0,58.07128358679484,2608335.0,14,8,6,Solid-D,41.92871641320516,1883274.0,NJ,4491609.0,2020
5,0,55.518490151719746,501614.0,5,3,2,Likely-D,44.48150984828026,401894.0,NM,903508.0,2020
29,0,61.72878540396053,5244006.0,29,18,11,Solid-D,38.27121459603948,3251230.0,NY,8495236.0,2020
0,15,49.315799346214185,2684292.0,15,7,8,Toss-Up,50.684200653785815,2758775.0,NC,5443067.0,2020
0,3,32.78259157710337,114902.0,3,1,2,Solid-R,67.21740842289663,235595.0,ND,350497.0,2020
0,18,45.923302352297284,2679165.0,18,8,10,Toss-Up,54.07669764770272,3154834.0,OH,5833999.0,2020
0,7,33.059960503093485,503890.0,7,2,5,Solid-R,66.94003949690651,1020280.0,OK,1524170.0,2020
7,0,58.307156985441736,1340383.0,7,4,3,Likely-D,41.692843014558264,958448.0,OR,2298831.0,2020
